SMILES,Molecule Name,LogD
CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,E-0010647,1.5
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,E-0011026,2.8
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,E-0011083,-0.1
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011133,-0.6
CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011137,-0.6
COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,E-0011305,2.7
COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,E-0011306,2.1
Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,E-0011316,1.9
Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011317,2.9
Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0011335,3.0
COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,E-0011366,4.3
Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011637,3.1
Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011638,2.8
O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,E-0011646,2.6
Cn1c(=O)ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011647,2.8
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,E-0011648,3.3
CN1C(=O)CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011658,2.9
COc1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2n1,E-0011659,4.4
c1cc(OCCN2CCCCC2)cc(-c2ccc3ccnnc3c2)c1,E-0011660,2.4
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,E-0011661,2.5
O=C1Cc2ccc(-c3ccc(O)cc3)cc2N1,E-0011662,2.5
Oc1ccc(-c2ccc3ccncc3c2)cc1,E-0011663,3.6
O=C1Cc2ccc(-c3cccc(O)c3)cc2N1,E-0011664,2.5
CN1C(=O)Cc2ccc(-c3cccc(O)c3)cc21,E-0011665,2.6
Oc1cccc(-c2ccc3ccncc3c2)c1,E-0011666,3.6
COc1cc(Nc2nccc(=O)[nH]2)cc(OC)c1,E-0011669,1.3
COc1cccc(Nc2nccc(=O)[nH]2)c1,E-0011670,1.1
Cc1cccc(Nc2nccc(=O)[nH]2)c1,E-0011671,1.5
Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,E-0011694,4.0
O=C1Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,E-0011695,2.5
CN1C(=O)Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011696,2.6
O=C1Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc2N1,E-0011697,2.5
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2nn1,E-0011698,2.4
c1cc(OCCN2CCCCC2)cc(-c2ccc3ccncc3c2)c1,E-0011699,3.5
CN1C(=O)Cc2ccc(-c3ccc(O)cc3)cc21,E-0011700,2.6
Fc1ccc(-c2csc(Nc3ccncc3)n2)cc1,E-0011702,4.2
Nc1ccnc2cc(-c3ccccc3)nn12,E-0011706,3.0
Cc1cc(-c2nccs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011758,3.3
CN1C(=O)Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc21,E-0011759,2.2
Cc1cc(C2(C#N)CC2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011760,2.8
Cc1cc(C#N)cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,E-0011761,3.3
O=c1ccnc(Nc2cc(Cl)cc(Cl)c2)[nH]1,E-0011762,2.6
O=c1ccnc(Nc2cccc(Cl)c2)[nH]1,E-0011763,1.7
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011791,1.7
Cc1cc(C#N)cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,E-0011802,4.3
COCCNC(=O)c1ccc2c(c1)c1cc(C#N)cc(C)c1n2C,E-0011803,3.1
COc1cc(Nc2nc(-c3ccccc3)cc(=O)[nH]2)cc(OC)c1,E-0011804,4.0
Nc1cc(C2CC2)nc2cc(-c3ccccc3)nn12,E-0011805,3.8
COc1ccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)cc1,E-0011806,4.8
COc1cccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)c1,E-0011807,3.8
COC(=O)c1n[nH]cc1Nc1ccccc1,E-0011808,1.5
CC(C)c1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011833,3.9
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011834,3.2
COc1ccccc1-c1cc2nc(-c3ccccc3)cc(N)n2n1,E-0011835,4.5
COC(=O)c1nn(Cc2ccccc2)cc1N,E-0011836,1.1
COC(=O)c1c(N)cnn1Cc1ccccc1,E-0011837,1.7
Cc1cc(-c2cnccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011838,2.8
Cc1cc(-c2cncs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011839,3.3
Cc1cc(C#N)cc2c3cc(OCCNC4CCC(F)(F)CC4)ccc3n(C)c12,E-0011840,3.9
Cc1c2ccncc2cc2c3cc(OCC4CNC4)ccc3n(C)c12,E-0011841,1.1
Cc1c2ccncc2cc2c3cc(OC4CCNC4)ccc3n(C)c12,E-0011842,1.7
COC(=O)c1n[nH]cc1N(C)C,E-0011863,0.2
Nc1cc(-c2ccccc2)nc2c(-c3ccccc3)cnn12,E-0011865,5.0
CCCc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011866,4.1
CN(C)c1cc(-c2ccccc2)nc2cc(-c3ccccc3)nn12,E-0011867,5.0
Cc1cc2nc(-c3ccccc3)cc(N)n2n1,E-0011868,3.1
COc1ccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)cc1,E-0011869,4.9
COc1cccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)c1,E-0011870,4.1
OCCNc1cc(-c2ccccc2)nc2cc(-c3ccccc3)nn12,E-0011871,4.3
O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,E-0011872,3.8
O=C(c1n[nH]c2ccccc12)N1CCC(NCc2ccc(Cl)cc2)CC1,E-0011873,2.7
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,E-0011874,4.1
Cc1c2ccncc2cc2c3cc(OCC4(C)CNC4)ccc3n(C)c12,E-0011875,1.8
Cc1c2ccncc2cc2c3cc(OCC4CCN4)ccc3n(C)c12,E-0011877,2.0
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011880,3.9
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,E-0011881,2.2
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,E-0011882,1.4
CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,E-0011883,2.1
Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,E-0011884,3.2
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,E-0011885,3.5
Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,E-0011888,3.9
COC(=O)c1nn(-c2ccccc2)cc1N,E-0011889,1.5
COC(=O)c1nn(C(C)C)cc1N,E-0011890,0.2
O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011891,3.6
CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011892,3.7
CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,E-0011893,4.4
CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,E-0011894,3.4
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,E-0011895,4.2
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,E-0011896,4.0
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,E-0011897,4.6
O=C(c1n[nH]c2ccccc12)N1CC(NCc2ccc(Cl)cc2)C1,E-0011898,3.5
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2Cl)CC1,E-0011899,3.6
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,E-0011900,3.7
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(F)cc2)CC1,E-0011901,3.1
