SMILES,Molecule Name,LogS
Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0010347,-3.913640169325252
COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,E-0010464,-3.7375489102695703
Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010481,-3.690369832574101
Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010482,-3.647817481888637
CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,E-0010519,-3.742321425130816
CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,E-0010520,-3.709965388637482
CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010559,-4.869666231504994
COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,E-0010561,-3.801342913045578
Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,E-0010562,-3.85078088734462
Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,E-0010567,-3.8041003475907664
Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,E-0010569,-3.623423042943488
CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010578,-3.6090648928966207
Cc1c2ccncc2cc2c3cc(OC[C@H]4CCCN4)ccc3n(C)c12,E-0010604,-3.7569619513137056
Cc1c2ccncc2cc2c3cc(OC[C@@H]4CCCN4)ccc3n(C)c12,E-0010611,-3.642065152999546
Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,E-0010625,-5.058985756294431
Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010627,-3.821023052706831
CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3c(C)c21,E-0010656,-3.692503962086787
Cc1c2ccncc2cc2c3cc(OCC4=NCCN4C)ccc3n(C)c12,E-0010660,-4.120904120499928
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,E-0010662,-3.679853713888946
COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010713,-3.838631997765025
Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010727,-4.809668301829708
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,E-0010730,-3.688246138944246
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,E-0010733,-3.96657624451305
CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,E-0010734,-3.649751981665837
Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,E-0010736,-3.6635402661514704
Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,E-0010737,-3.866461091629783
Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,E-0010738,-3.6819366650372394
Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,E-0010739,-3.7644715530924513
Cn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,E-0010751,-3.712198270069774
CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,E-0010754,-3.7670038896078464
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,E-0010765,-3.832682665251824
Cc1nc(C(N)=O)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0010766,-3.735182176990464
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,E-0010767,-3.772113295386327
Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3nc21,E-0010776,-3.882728704344236
Cn1c2ccc(OCC(=N)N)cc2c2cc3cnccc3cc21,E-0010784,-4.452225294612178
Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3nc21,E-0010786,-3.785156151952302
Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)N(C)CC2,E-0010812,-3.815308569182401
CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,E-0010975,-3.8297382846050425
Cn1c2ccc(OCC(=N)N)cc2c2cc3ncccc3cc21,E-0010994,-4.100726812682396
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,E-0011026,-4.164943898279883
CN(C)CCCn1ccc2nc3ccc(OCC4=NCCN4)cc3c-2c1,E-0011078,-3.6819366650372394
c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,E-0011079,-3.7931741239681513
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,E-0011083,-4.016824927962187
NC(=O)CN1C(=O)Cc2ccc(-c3ccccc3)cc21,E-0011122,-4.382999658879101
CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011133,-4.037157318798758
CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,E-0011137,-4.00788851221305
Cc1c2cnccc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0011166,-3.7986028756795487
C[C@H](NC(=O)c1ccc2c(c1)c1cc(C(=O)N[C@@H](C)C(N)=O)ccc1n2C)C(N)=O,E-0011189,-3.812479279163537
Cc1c2ccncc2cc2c3cc(OCC[C@@H](C)N)ccc3n(C)c12,E-0011190,-3.7375489102695703
COc1ccc2c(c1)c1cc(NC(=O)NCCN(C)C)nc(C)c1n2C,E-0011191,-3.832682665251824
NC(=O)CCN1C(=O)Cc2c1ccc1ccccc21,E-0011195,-3.721246399047171
Cc1c2ccncc2cc2c3cc(OCC[C@H](C)N)ccc3n(C)c12,E-0011210,-3.779891911959945
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0011212,-3.705533773838407
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011213,-3.6595558851598815
CC(=O)N[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011214,-4.1232050237993
NC(=O)Cn1ccc2ccc(-c3ccccc3)cc21,E-0011216,-4.364516253185088
Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0011217,-3.6675615400843946
Cc1c2ccncc2cc2c3cc(OCCC(C)(C)N)ccc3n(C)c12,E-0011219,-3.6345120151091
Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0011225,-3.774690718274137
