SMILES,Molecule Name,Log_Caco_ER
CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,E-0010647,0.4653828514484183
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,E-0011026,0.250420002308894
Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0011335,0.3783979009481376
COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,E-0011365,0.3324384599156053
COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,E-0011366,0.1702617153949573
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,E-0011648,0.1492191126553798
Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,E-0011694,0.2304489213782739
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011791,1.390935107103379
O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,E-0011872,0.2787536009528289
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,E-0011874,0.3010299956639812
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011880,0.2355284469075489
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,E-0011881,0.2648178230095364
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,E-0011882,0.2855573090077737
CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,E-0011883,0.2671717284030138
Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,E-0011884,0.2201080880400551
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,E-0011885,0.2764618041732442
Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,E-0011888,0.2810333672477275
COC(=O)c1nn(-c2ccccc2)cc1N,E-0011889,0.2624510897304294
COC(=O)c1nn(C(C)C)cc1N,E-0011890,0.2695129442179163
O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011891,0.2380461031287954
CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011892,0.2671717284030138
CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,E-0011893,0.4424797690644485
CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,E-0011894,0.3747483460101038
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,E-0011895,0.3053513694466238
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,E-0011896,0.2648178230095364
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,E-0011897,0.2121876044039577
O=C(c1n[nH]c2ccccc12)N1CC(NCc2ccc(Cl)cc2)C1,E-0011898,0.1846914308175988
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2Cl)CC1,E-0011899,0.187520720836463
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,E-0011900,0.3117538610557542
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(F)cc2)CC1,E-0011901,0.2624510897304294
Cc1ccc2[nH]nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)c2c1,E-0011908,0.2787536009528289
O=C(c1n[nH]c2cc(F)ccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011911,0.3463529744506385
COc1ccc2c(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)n[nH]c2c1,E-0011913,0.255272505103306
O=C(c1n[nH]c2ncccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011920,0.3324384599156053
Cc1cc(-c2ccccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011924,0.3344537511509309
Cc1cc(-c2ncccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011925,0.2227164711475832
Cc1cc(-c2ccncn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011927,0.2405492482825997
c1cncc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011928,0.2405492482825997
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(C(N)=O)c3)n2)cc1,E-0011929,1.8040030547296129
c1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,E-0011930,0.3010299956639812
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncccn4)cc3)n2)CC1,E-0011931,0.2988530764097066
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011932,1.5264685124694777
CN(C)CCOc1ccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)cc1,E-0011937,0.1846914308175988
Cn1cc(C(=O)N2CCN(c3ccc(CN4CCC4)cc3)CC2)c2cccnc21,E-0011938,0.4927603890268375
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(F)C4)cc3)CC2)c2cccnc21,E-0011939,0.2764618041732442
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C(F)(F)F)C4)cc3)CC2)c2cccnc21,E-0011940,0.2966651902615311
Cc1c(N)c(-n2cc(OCCN3CCCCC3)cn2)cc2cnccc12,E-0011941,0.2355284469075489
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011942,0.3909351071033791
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011943,0.3283796034387377
Fc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,E-0011944,0.1846914308175988
NC(=O)Cc1ccc(Nc2nccc(-c3cc(F)cc(N4CCOCC4)c3)n2)cc1,E-0011945,0.3541084391474008
CN1CCN(c2cc(F)cc(-c3ccnc(Nc4ccc(CC(N)=O)cc4)n3)c2)CC1,E-0011946,0.5327543789924978
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5ccccc5)cn4)cc3)n2)CC1,E-0011947,0.2174839442139062
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccc(F)c5)cn4)cc3)n2)CC1,E-0011948,0.1958996524092336
Cn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011949,0.2201080880400551
CN(c1ccc(Cl)cc1)C1CCN(C(=O)c2n[nH]c3ccccc23)CC1,E-0011950,0.2479732663618066
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)c(F)c2)CC1,E-0011951,0.1760912590556812
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)cc2F)CC1,E-0011952,0.2253092817258628
CCCn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011953,0.2068258760318496
CC(C)n1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011954,0.2600713879850747
O=C(c1noc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,E-0011955,0.1931245983544616
O=C(c1nsc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,E-0011956,0.2148438480476979
COc1ccc2[nH]c3c(=O)n(CC4CCC(=O)NC4)cnc3c2c1,E-0011971,1.0257153839013406
COc1ccc2[nH]c3c(=O)n(CC4CC5(CNC5)C4)cnc3c2c1,E-0011983,0.5587085705331657
COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,E-0011988,0.2944662261615929
COc1ccc2[nH]c3c(=O)n(C[C@H]4CCCN(C)C4)cnc3c2c1,E-0011989,0.3159703454569178
COc1ccc2[nH]c3c(=O)n(CCCN4CCCC4)cnc3c2c1,E-0011991,0.290034611362518
COc1ccc2[nH]c3c(=O)n(CCCN4CCC(OC)CC4)cnc3c2c1,E-0012036,0.3324384599156053
COc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2cc1OC,E-0012037,0.4712917110589386
COc1ccc2[nH]c3c(=O)n(CCCN(C)C4CCCCC4)cnc3c2c1,E-0012055,0.2355284469075489
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(O)C4)cc3)CC2)c2cccnc21,E-0012083,0.7007037171450193
COc1cc(N)ncc1CCCN(C)CCCn1cnc2c([nH]c3ccccc32)c1=O,E-0012085,1.3012470886362115
COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cn2)C1,E-0012099,0.3443922736851107
COc1ccc2[nH]c3c(=O)n(CCCN(C)CCCc4cnc(N)cc4OC)cnc3c2c1,E-0012105,1.4129642719966629
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc(-c5ccccc5)on4)CC3)cc2)C1,E-0012110,0.2253092817258628
COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,E-0012116,0.3074960379132129
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc5ccccc5n4C)CC3)cc2)C1,E-0012118,0.2148438480476979
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc(-c5ccccc5)n(C)n4)CC3)cc2)C1,E-0012129,0.2528530309798932
COC1CN(Cc2ccc(N3CCN(C(=O)c4c(C)n(C)c5ccccc45)CC3)cc2)C1,E-0012133,0.271841606536499
COc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,E-0012135,0.2405492482825997
COc1ccc2c(c1)c(C(=O)N1CCN(c3ccc(CN4CC(OC)C4)cc3)CC1)cn2C,E-0012136,0.271841606536499
COC1CN(Cc2ccc(N3CCN(C(=O)c4c5ccccc5n5ccccc45)CC3)cc2)C1,E-0012140,0.3053513694466238
COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,E-0012145,0.255272505103306
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C)(O)C4)cc3)CC2)c2cccnc21,E-0012150,0.6570558528571039
COC1(C)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012151,0.3010299956639812
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(CO)C4)cc3)CC2)c2cccnc21,E-0012152,1.012415374762433
COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012153,0.4329692908744057
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCCO5)C4)cc3)CC2)c2cccnc21,E-0012154,0.255272505103306
CN(C)C(=O)Cc1ccc(Nc2nccc(-c3cccc(NS(C)(=O)=O)c3)n2)cc1,E-0012155,0.7497363155690611
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccnc5)cn4)cc3)n2)CC1,E-0012156,0.2041199826559248
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,E-0012157,0.3404441148401183
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,E-0012158,0.404833716619938
CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,E-0012159,0.2380461031287954
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2)c1,E-0012160,0.2355284469075489
CN1CCC(Oc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,E-0012161,0.2764618041732442
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cn3)cc2cn1,E-0012162,0.2833012287035495
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)nc2)CC1,E-0012163,0.3117538610557542
O=C(NC1CN(Cc2ccc(Cl)cc2)C1)c1n[nH]c2ccccc12,E-0012164,0.2576785748691845
Cc1ccc(CNc2nc(-c3ccccc3)cc(=O)[nH]2)cc1,E-0012165,0.2304489213782739
Cc1cccc(CNc2nc(-c3ccccc3)cc(=O)[nH]2)c1,E-0012166,0.2329961103921538
Cc1cccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)c1,E-0012167,0.3838153659804312
Cc1ccccc1CNc1nc(-c2ccccc2)cc(=O)[nH]1,E-0012168,0.3463529744506385
Cc1ccccc1CNc1cc(-c2ccccc2)[nH]c(=O)n1,E-0012169,0.4232458739368078
CC(C)c1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0012171,0.3521825181113625
C[C@H](Nc1nc(-c2ccccc2)cc(=O)[nH]1)c1ccccc1,E-0012172,0.2695129442179163
C[C@H](Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012173,0.4329692908744057
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(S(N)(=O)=O)c3)n2)cc1,E-0012181,1.8695250628572275
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCNCC4)cc3)n2)c1,E-0012182,0.2624510897304294
Fc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,E-0012183,0.292256071356476
Fc1cc(F)cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012184,0.1986570869544226
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)cn2)CC1,E-0012185,0.2787536009528289
COc1ccc(-c2cc(NCc3ccc(C)cc3)nc(=O)[nH]2)cc1,E-0012186,0.5352941200427705
C[C@@H](Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012187,0.4099331233312946
CC(C)(Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012188,0.4281347940287887
O=c1nc(NC2(c3ccccc3)CC2)cc(-c2ccccc2)[nH]1,E-0012189,0.4842998393467858
O=c1nc(NCc2ccccn2)cc(-c2ccccc2)[nH]1,E-0012190,0.6803355134145632
Cc1ccc2[nH]nc(C(=O)N3CCC(Nc4ccc(Cl)cc4)CC3)c2c1,E-0012191,0.255272505103306
Cc1ccc2[nH]nc(C(=O)N3CCC(NCc4ccc(Cl)cc4)CC3)c2c1,E-0012192,0.2278867046136735
Cc1ccc2[nH]nc(C(=O)N3CCN(Cc4ccc(Cl)cc4)CC3)c2c1,E-0012193,0.2380461031287954
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C)(CO)C4)cc3)CC2)c2cccnc21,E-0012194,1.044539760392411
COCC1(C)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012195,0.4099331233312946
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCO5)C4)cc3)CC2)c2cccnc21,E-0012196,0.3729120029701066
