SMILES,Molecule Name,Log_Caco_Papp_AB
CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,E-0010647,-5.287350298372789
COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,E-0011026,-4.562407967746038
Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0011335,-4.673459331483438
COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,E-0011365,-5.519993057042849
COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,E-0011366,-4.876475019057268
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,E-0011648,-4.815876645760329
Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,E-0011694,-4.801342913045577
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011791,-5.576754126063192
O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,E-0011872,-4.569280112136718
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,E-0011874,-4.598082749482425
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011880,-4.673869043289206
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,E-0011881,-4.511026475273492
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,E-0011882,-4.452964100259989
CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,E-0011883,-4.828566099056991
Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,E-0011884,-5.739928612014925
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,E-0011885,-5.82102305270683
Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,E-0011888,-4.654430243943608
COC(=O)c1nn(-c2ccccc2)cc1N,E-0011889,-5.481486060122113
COC(=O)c1nn(C(C)C)cc1N,E-0011890,-4.484788695672198
O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011891,-4.488116639021126
CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011892,-4.715118285344547
CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,E-0011893,-5.438898616350944
CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,E-0011894,-5.448550002027125
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,E-0011895,-4.71602071576152
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,E-0011896,-4.966576244513051
