SMILES,Molecule Name,Log_MLM_CLint
CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,2.2631624649622166
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,3.13100881279064
Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,2.2889196056617265
CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,2.2121876044039577
CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,1.81424759573192
COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,1.826722520168992
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,2.225309281725863
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,1.8959747323590648
CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,2.5352941200427703
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,1.9232440186302764
CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,2.5276299008713385
CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,2.257678574869185
CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010022,2.3998467127129226
CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,E-0010024,1.568201724066995
O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,E-0010025,3.3107994838343924
CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,E-0010059,1.7466341989375789
O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,E-0010060,2.819083075743703
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,E-0010062,1.606381365110605
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,E-0010066,1.8457180179666584
COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,E-0010071,1.989894563718773
CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,E-0010120,2.8304603500309677
NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,E-0010121,2.6434526764861874
COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,E-0010138,3.611394011340292
Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0010347,2.6223176608338443
Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,E-0010358,2.714329759745233
Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0010360,2.439016728387513
